# chl_car	water	dry_albino	lignin_cellulose	protein
0.000163	0	0.0012	    0	0.00E+00
0.000156	0	0.001195	0	0.00E+00
0.000145	0	0.001187	0	0.00E+00
0.000133	0	0.001174	0	0.00E+00
0.000121	0	0.001164	0	0.00E+00
0.000112	0	0.001154	0	0.00E+00
0.000105	0	0.001146	0	0.00E+00
0.0001	   0	0.001137	0	0.00E+00
9.58E-05	0	0.001127	0	0.00E+00
9.16E-05	0	0.001117	0	0.00E+00
8.88E-05	0	0.001105	0	0.00E+00
8.70E-05	0	0.001094	0	0.00E+00
8.62E-05	0	0.001082	0	0.00E+00
8.44E-05	0	0.00107  	0	0.00E+00
8.22E-05	0	0.001059	0	0.00E+00
8.03E-05	0	0.001047	0	0.00E+00
7.83E-05	0	0.001035	0	0.00E+00
7.63E-05	0	0.001024	0	0.00E+00
7.37E-05	0	0.001012	0	0.00E+00
7.02E-05	0	0.001001	0	0.00E+00
6.55E-05	0	0.000989	0	0.00E+00
6.01E-05	0	0.000977	0	0.00E+00
5.44E-05	0	0.000965	0	0.00E+00
4.80E-05	0	0.000952	0	0.00E+00
4.15E-05	0	0.000937	0	0.00E+00
3.66E-05	0	0.000922	0	0.00E+00
3.41E-05	0	0.000906	0	0.00E+00
3.46E-05	0	0.00089	    0	0.00E+00
3.52E-05	0	0.000873	0	0.00E+00
3.32E-05	0	0.000856	0	0.00E+00
3.03E-05	0	0.000839	0	0.00E+00
2.83E-05	0	0.000821	0	0.00E+00
2.73E-05	0	0.000803	0	0.00E+00
2.70E-05	0	0.000784	0	0.00E+00
2.67E-05	0	0.000765	0	0.00E+00
2.64E-05	0	0.000745	0	0.00E+00
2.60E-05	0	0.000726	0	0.00E+00
2.60E-05	0	0.000706	0	0.00E+00
2.68E-05	0	0.000686	0	0.00E+00
2.84E-05	0	0.000666	0	0.00E+00
3.09E-05	0	0.000646	0	0.00E+00
3.43E-05	0	0.000626	0	0.00E+00
3.73E-05	0	0.000605	0	0.00E+00
3.87E-05	0	0.000585	0	0.00E+00
3.88E-05	0	0.000565	0	0.00E+00
3.78E-05	0	0.000545	0	0.00E+00
3.71E-05	0	0.000525	0	0.00E+00
3.82E-05	0	0.000506	0	0.00E+00
4.24E-05	0	0.000486	0	0.00E+00
4.80E-05	0	0.000467	0	0.00E+00
5.26E-05	0	0.000448	0	0.00E+00
5.61E-05	0	0.000429	0	0.00E+00
6.05E-05	0	0.000411	0	0.00E+00
6.54E-05	0	0.000393	0	0.00E+00
6.82E-05	0	0.000375	0	0.00E+00
6.81E-05	0	0.000357	0	0.00E+00
6.50E-05	0	0.00034  	0	0.00E+00
5.64E-05	0	0.000323	0	0.00E+00
4.40E-05	0	0.000307	0	0.00E+00
3.21E-05	0	0.00029	    0	0.00E+00
2.23E-05	0	0.000275	0	0.00E+00
1.47E-05	0	0.00026  	0	0.00E+00
9.21E-06	0	0.000245	0	0.00E+00
5.56E-06	0	0.00023  	0	0.00E+00
3.46E-06	0	0.000216	0	0.00E+00
2.25E-06	0	0.000203	0	0.00E+00
1.44E-06	0	0.00019	    0	0.00E+00
8.60E-07	0	0.000177	0	0.00E+00
4.92E-07	0	0.000165	0	0.00E+00
2.74E-07	0	0.000153	0	0.00E+00
1.48E-07	0	0.000142	0	0.00E+00
7.04E-08	0	0.000131	0	0.00E+00
2.81E-08	0	0.000121	0	0.00E+00
7.04E-09	0	0.000111	0	0.00E+00
0	        0	0.000102	0	0.00E+00
0	        0	9.26E-05	0	0.00E+00
0	        0	8.41E-05	0	0.00E+00
0	        0	7.61E-05	0	0.00E+00
0	        0	6.85E-05	0	0.00E+00
0	        0	6.13E-05	0	0.00E+00
0	2.34E-08	5.47E-05	0	0.00E+00
0	4.66E-08	4.84E-05	0	0.00E+00
0	4.66E-08	4.26E-05	0	0.00E+00
0	6.99E-08	3.71E-05	0	0.00E+00
0	6.99E-08	3.21E-05	0	0.00E+00
0	6.99E-08	2.75E-05	0	0.00E+00
0	6.99E-08	2.33E-05	0	0.00E+00
0	9.31E-08	1.95E-05	0	0.00E+00
0	9.31E-08	1.61E-05	0	0.00E+00
0	9.31E-08	1.30E-05	0	0.00E+00
0	9.31E-08	1.03E-05	0	0.00E+00
0	9.31E-08	7.91E-06	0	0.00E+00
0	9.31E-08	5.87E-06	0	0.00E+00
0	1.16E-07	4.16E-06	0	0.00E+00
0	1.16E-07	2.76E-06	0	0.00E+00
